"Source";"Target";"Weight"
1;509;0.145411006774
1;21;0.1391766099324
1;486;0.135711709469
1;615;0.1273357994639
2;389;0.1949146132114
2;559;0.1733668947784
2;551;0.1531717708205
2;41;0.1446437573087
3;355;0.1975854978895
3;586;0.1758045864556
3;289;0.1675898309176
3;380;0.1547126748871
4;402;0.2683700196529
4;615;0.2418452965024
4;433;0.2266149729124
4;720;0.208459044842
5;106;0.4559773505087
5;527;0.4265667034585
5;526;0.3658638170007
5;93;0.3608734527922
6;16;1.0
6;528;1.0
6;529;1.0
6;630;0.0893314762528
7;377;0.1216160186969
7;701;0.1202405507767
7;289;0.1165706382991
7;615;0.1070185583293
8;533;0.256286891047
8;552;0.1996454961301
8;26;0.1837849269656
8;4;0.1655619276968
9;17;0.3482685095615
9;311;0.2044763486658
9;615;0.1913429249159
9;739;0.1900100922027
10;730;0.2009262322399
10;240;0.1337131842211
10;191;0.1229503358783
10;279;0.1078058060852
11;13;0.3408102476316
11;44;0.3405654642732
11;242;0.3213476294956
11;59;0.3011192649166
12;19;0.4629416629746
12;72;0.3940707158151
12;549;0.2785085659775
12;723;0.2120573109785
13;44;0.6550494734119
13;540;0.5411052698224
13;242;0.4508778549146
13;24;0.4221034849127
14;541;0.451695547165
14;42;0.4126081498536
14;612;0.2230987662639
14;638;0.1855827127745
15;724;0.1741958175118
15;309;0.1632750942817
15;133;0.158926791452
15;174;0.1515626574885
16;6;1.0
16;528;1.0
16;529;1.0
16;630;0.0893314762528
17;9;0.3482685095615
17;212;0.1421072842511
17;555;0.1400170183839
17;576;0.130073406316
18;668;0.1289311249275
18;332;0.1102347470438
18;17;0.107936060663
18;586;0.1051837869365
19;12;0.4629416629746
19;549;0.3873525455724
19;72;0.324648257931
19;422;0.1650448286829
20;663;0.2330877380727
20;52;0.1822332195354
20;106;0.1734619800514
20;21;0.1669929197522
21;181;0.1995159277842
21;194;0.1904744097332
21;155;0.1832372099546
21;106;0.183080136985
22;31;0.5448982117968
22;47;0.4814816919163
22;29;0.4227115591496
22;571;0.3815575142718
23;102;0.1180752053459
23;651;0.1141029816085
